test_time_utc,model,quant,threads,prompt_tps,gen_tps,pg_tps,cpu_info,gpu_info,cuda,vulkan,metal,sycl,gpu_blas,blas,flash_attn,n_gpu_layers,type_k,type_v,bench_opts,source
2025-11-22T04:39:13Z,gemma3-1b-instruct,Q3_K_L,4,13.450891,4.703001,9.658425,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T04:53:45Z,gemma3-1b-instruct,Q3_K_M,4,14.522212,4.895324,10.247789,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T05:07:33Z,gemma3-1b-instruct,Q3_K_S,4,13.018893,5.011906,9.693501,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T05:22:05Z,gemma3-1b-instruct,Q4_0,4,15.348442,4.883782,10.573033,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T05:35:31Z,gemma3-1b-instruct,Q4_1,4,15.179885,4.639828,10.28392,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T05:49:17Z,gemma3-1b-instruct,Q4_K_M,4,13.053014,4.319242,9.178785,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T06:04:28Z,gemma3-1b-instruct,Q4_K_S,4,13.647649,4.517871,9.568033,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T06:19:07Z,gemma3-1b-instruct,Q5_0,4,12.493851,4.394381,8.991801,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T06:34:37Z,gemma3-1b-instruct,Q5_1,4,12.054252,4.182551,8.659578,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T06:50:38Z,gemma3-1b-instruct,Q5_K_M,4,12.290167,4.21132,8.752836,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T07:06:28Z,gemma3-1b-instruct,Q5_K_S,4,12.375184,4.280323,8.844019,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T07:22:15Z,gemma3-1b-instruct,Q6_K,4,14.455875,3.579571,8.887071,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T07:37:48Z,gemma3-1b-instruct,Q8_0,4,16.136063,3.394201,9.105904,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T07:53:28Z,llama3.2-1b,F16,4,5.018192,1.476751,3.35462,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T08:30:48Z,llama3.2-1b,IQ3_M,4,5.21003,3.682915,4.744153,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T08:58:41Z,llama3.2-1b,IQ3_XS,4,5.63546,3.930768,5.112797,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T09:24:45Z,llama3.2-1b,IQ4_NL,4,9.908451,4.571552,7.841554,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T09:42:13Z,llama3.2-1b,Q3_K_L,4,9.009184,4.815411,7.50366,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T10:00:28Z,llama3.2-1b,Q3_K_M,4,9.718909,5.099941,8.043772,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T10:17:37Z,llama3.2-1b,Q3_K_S,4,8.717197,5.414054,7.569598,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T10:35:48Z,llama3.2-1b,Q4_0,4,11.345865,4.609161,8.54661,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T10:51:58Z,llama3.2-1b,Q4_1,4,11.109813,4.259899,8.144996,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T11:08:45Z,llama3.2-1b,Q4_K_M,4,11.857453,4.469104,8.685421,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T11:24:38Z,llama3.2-1b,Q4_K_S,4,12.400299,4.614941,9.040469,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T11:40:03Z,llama3.2-1b,Q5_0,4,9.143541,4.018287,7.137681,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T11:59:06Z,llama3.2-1b,Q5_1,4,8.907369,3.750057,6.835318,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T12:18:50Z,llama3.2-1b,Q5_K_M,4,9.529283,3.983457,7.295476,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T12:37:28Z,llama3.2-1b,Q5_K_S,4,9.654004,4.046572,7.406255,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T12:55:54Z,llama3.2-1b,Q6_K,4,8.970897,3.606222,6.760347,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
2025-11-22T13:15:57Z,llama3.2-1b,Q8_0,4,11.799827,2.764067,6.985617,CPU,NA,NA,NA,NA,NA,NA,NA,NA,99,f16,f16,bench:p=512;n=128;r=5;ctk=NA;ctv=NA,file
